Date,Hour,DayOfWeek,Month,Weekend,Weather,Holiday,Promotion,Reservations,WalkIns,Covers
2023-01-01,11,Sunday,1,0,Sunny,0,0,55,0,1
2023-01-01,12,Sunday,1,0,Sunny,0,0,55,4,10
2023-01-01,13,Sunday,1,0,Sunny,0,0,55,6,11
2023-01-01,14,Sunday,1,0,Sunny,0,0,55,3,12
2023-01-01,15,Sunday,1,0,Sunny,0,0,55,0,0
2023-01-01,16,Sunday,1,0,Sunny,0,0,55,0,2
2023-01-01,17,Sunday,1,0,Sunny,0,0,55,2,0
2023-01-01,18,Sunday,1,0,Sunny,0,0,55,5,7
2023-01-01,19,Sunday,1,0,Sunny,0,0,55,8,13
2023-01-01,20,Sunday,1,0,Sunny,0,0,55,7,7
2023-01-01,21,Sunday,1,0,Sunny,0,0,55,3,7
2023-01-01,22,Sunday,1,0,Sunny,0,0,55,0,2
2023-01-02,11,Monday,1,0,Sunny,1,0,82,0,11
2023-01-02,12,Monday,1,0,Sunny,1,0,82,6,18
2023-01-02,13,Monday,1,0,Sunny,1,0,82,9,5
2023-01-02,14,Monday,1,0,Sunny,1,0,82,4,12
2023-01-02,15,Monday,1,0,Sunny,1,0,82,0,4
2023-01-02,16,Monday,1,0,Sunny,1,0,82,0,4
2023-01-02,17,Monday,1,0,Sunny,1,0,82,3,3
2023-01-02,18,Monday,1,0,Sunny,1,0,82,7,18
2023-01-02,19,Monday,1,0,Sunny,1,0,82,12,17
2023-01-02,20,Monday,1,0,Sunny,1,0,82,10,17
2023-01-02,21,Monday,1,0,Sunny,1,0,82,4,11
2023-01-02,22,Monday,1,0,Sunny,1,0,82,0,7
2023-01-03,11,Tuesday,1,0,Rainy,0,0,72,0,0
2023-01-03,12,Tuesday,1,0,Rainy,0,0,72,0,3
2023-01-03,13,Tuesday,1,0,Rainy,0,0,72,1,4
2023-01-03,14,Tuesday,1,0,Rainy,0,0,72,0,12
2023-01-03,15,Tuesday,1,0,Rainy,0,0,72,0,1
2023-01-03,16,Tuesday,1,0,Rainy,0,0,72,0,0
2023-01-03,17,Tuesday,1,0,Rainy,0,0,72,0,7
2023-01-03,18,Tuesday,1,0,Rainy,0,0,72,0,1
2023-01-03,19,Tuesday,1,0,Rainy,0,0,72,2,8
2023-01-03,20,Tuesday,1,0,Rainy,0,0,72,1,0
2023-01-03,21,Tuesday,1,0,Rainy,0,0,72,0,0
2023-01-03,22,Tuesday,1,0,Rainy,0,0,72,0,2
2023-01-04,11,Wednesday,1,0,Sunny,0,0,40,1,4
2023-01-04,12,Wednesday,1,0,Sunny,0,0,40,6,12
2023-01-04,13,Wednesday,1,0,Sunny,0,0,40,9,7
2023-01-04,14,Wednesday,1,0,Sunny,0,0,40,5,1
2023-01-04,15,Wednesday,1,0,Sunny,0,0,40,1,7
2023-01-04,16,Wednesday,1,0,Sunny,0,0,40,1,1
2023-01-04,17,Wednesday,1,0,Sunny,0,0,40,4,1
2023-01-04,18,Wednesday,1,0,Sunny,0,0,40,7,6
2023-01-04,19,Wednesday,1,0,Sunny,0,0,40,11,9
2023-01-04,20,Wednesday,1,0,Sunny,0,0,40,10,13
2023-01-04,21,Wednesday,1,0,Sunny,0,0,40,5,10
2023-01-04,22,Wednesday,1,0,Sunny,0,0,40,0,6
2023-01-05,11,Thursday,1,0,Sunny,0,0,56,0,5
2023-01-05,12,Thursday,1,0,Sunny,0,0,56,4,13
2023-01-05,13,Thursday,1,0,Sunny,0,0,56,6,10
2023-01-05,14,Thursday,1,0,Sunny,0,0,56,3,9
2023-01-05,15,Thursday,1,0,Sunny,0,0,56,0,0
2023-01-05,16,Thursday,1,0,Sunny,0,0,56,0,2
2023-01-05,17,Thursday,1,0,Sunny,0,0,56,2,11
2023-01-05,18,Thursday,1,0,Sunny,0,0,56,5,4
2023-01-05,19,Thursday,1,0,Sunny,0,0,56,8,15
2023-01-05,20,Thursday,1,0,Sunny,0,0,56,7,17
2023-01-05,21,Thursday,1,0,Sunny,0,0,56,3,8
2023-01-05,22,Thursday,1,0,Sunny,0,0,56,0,0
2023-01-06,11,Friday,1,1,Cloudy,0,0,90,0,7
2023-01-06,12,Friday,1,1,Cloudy,0,0,90,5,9
2023-01-06,13,Friday,1,1,Cloudy,0,0,90,8,16
2023-01-06,14,Friday,1,1,Cloudy,0,0,90,4,17
2023-01-06,15,Friday,1,1,Cloudy,0,0,90,0,5
2023-01-06,16,Friday,1,1,Cloudy,0,0,90,0,11
2023-01-06,17,Friday,1,1,Cloudy,0,0,90,2,0
2023-01-06,18,Friday,1,1,Cloudy,0,0,90,7,17
2023-01-06,19,Friday,1,1,Cloudy,0,0,90,12,19
2023-01-06,20,Friday,1,1,Cloudy,0,0,90,10,15
2023-01-06,21,Friday,1,1,Cloudy,0,0,90,4,11
2023-01-06,22,Friday,1,1,Cloudy,0,0,90,0,0
2023-01-07,11,Saturday,1,1,Sunny,0,1,52,3,4
2023-01-07,12,Saturday,1,1,Sunny,0,1,52,10,8
2023-01-07,13,Saturday,1,1,Sunny,0,1,52,14,14
2023-01-07,14,Saturday,1,1,Sunny,0,1,52,9,15
2023-01-07,15,Saturday,1,1,Sunny,0,1,52,3,6
2023-01-07,16,Saturday,1,1,Sunny,0,1,52,2,4
2023-01-07,17,Saturday,1,1,Sunny,0,1,52,7,13
2023-01-07,18,Saturday,1,1,Sunny,0,1,52,12,20
2023-01-07,19,Saturday,1,1,Sunny,0,1,52,18,23
2023-01-07,20,Saturday,1,1,Sunny,0,1,52,16,21
2023-01-07,21,Saturday,1,1,Sunny,0,1,52,9,18
2023-01-07,22,Saturday,1,1,Sunny,0,1,52,1,5
2023-01-08,11,Sunday,1,0,Sunny,0,0,71,0,2
2023-01-08,12,Sunday,1,0,Sunny,0,0,71,3,9
2023-01-08,13,Sunday,1,0,Sunny,0,0,71,5,4
2023-01-08,14,Sunday,1,0,Sunny,0,0,71,2,2
2023-01-08,15,Sunday,1,0,Sunny,0,0,71,0,4
