Hour,Month,Weekend,Holiday,Promotion,Reservations,Year,Day,DayOfYear,WeekOfYear,Lag_1_Day,Lag_7_Days,Rolling_7,DayOfWeek_Monday,DayOfWeek_Saturday,DayOfWeek_Sunday,DayOfWeek_Thursday,DayOfWeek_Tuesday,DayOfWeek_Wednesday,Weather_Rainy,Weather_Sunny
11,1,0,0,0,55,2023,1,1,52,0.0,0.0,1.0,False,False,True,False,False,False,False,True
12,1,0,0,0,55,2023,1,1,52,0.0,0.0,10.0,False,False,True,False,False,False,False,True
13,1,0,0,0,55,2023,1,1,52,0.0,0.0,11.0,False,False,True,False,False,False,False,True
14,1,0,0,0,55,2023,1,1,52,0.0,0.0,12.0,False,False,True,False,False,False,False,True
15,1,0,0,0,55,2023,1,1,52,0.0,0.0,0.0,False,False,True,False,False,False,False,True
16,1,0,0,0,55,2023,1,1,52,0.0,0.0,2.0,False,False,True,False,False,False,False,True
17,1,0,0,0,55,2023,1,1,52,0.0,0.0,0.0,False,False,True,False,False,False,False,True
18,1,0,0,0,55,2023,1,1,52,0.0,0.0,7.0,False,False,True,False,False,False,False,True
19,1,0,0,0,55,2023,1,1,52,0.0,0.0,13.0,False,False,True,False,False,False,False,True
20,1,0,0,0,55,2023,1,1,52,0.0,0.0,7.0,False,False,True,False,False,False,False,True
21,1,0,0,0,55,2023,1,1,52,0.0,0.0,7.0,False,False,True,False,False,False,False,True
22,1,0,0,0,55,2023,1,1,52,0.0,0.0,2.0,False,False,True,False,False,False,False,True
11,1,0,1,0,82,2023,2,2,1,1.0,0.0,6.0,True,False,False,False,False,False,False,True
12,1,0,1,0,82,2023,2,2,1,10.0,0.0,14.0,True,False,False,False,False,False,False,True
13,1,0,1,0,82,2023,2,2,1,11.0,0.0,8.0,True,False,False,False,False,False,False,True
14,1,0,1,0,82,2023,2,2,1,12.0,0.0,12.0,True,False,False,False,False,False,False,True
15,1,0,1,0,82,2023,2,2,1,0.0,0.0,2.0,True,False,False,False,False,False,False,True
16,1,0,1,0,82,2023,2,2,1,2.0,0.0,3.0,True,False,False,False,False,False,False,True
17,1,0,1,0,82,2023,2,2,1,0.0,0.0,1.5,True,False,False,False,False,False,False,True
18,1,0,1,0,82,2023,2,2,1,7.0,0.0,12.5,True,False,False,False,False,False,False,True
19,1,0,1,0,82,2023,2,2,1,13.0,0.0,15.0,True,False,False,False,False,False,False,True
20,1,0,1,0,82,2023,2,2,1,7.0,0.0,12.0,True,False,False,False,False,False,False,True
21,1,0,1,0,82,2023,2,2,1,7.0,0.0,9.0,True,False,False,False,False,False,False,True
22,1,0,1,0,82,2023,2,2,1,2.0,0.0,4.5,True,False,False,False,False,False,False,True
11,1,0,0,0,72,2023,3,3,1,11.0,0.0,4.0,False,False,False,False,True,False,True,False
12,1,0,0,0,72,2023,3,3,1,18.0,0.0,10.333333333333334,False,False,False,False,True,False,True,False
13,1,0,0,0,72,2023,3,3,1,5.0,0.0,6.666666666666667,False,False,False,False,True,False,True,False
14,1,0,0,0,72,2023,3,3,1,12.0,0.0,12.0,False,False,False,False,True,False,True,False
15,1,0,0,0,72,2023,3,3,1,4.0,0.0,1.6666666666666667,False,False,False,False,True,False,True,False
16,1,0,0,0,72,2023,3,3,1,4.0,0.0,2.0,False,False,False,False,True,False,True,False
17,1,0,0,0,72,2023,3,3,1,3.0,0.0,3.3333333333333335,False,False,False,False,True,False,True,False
18,1,0,0,0,72,2023,3,3,1,18.0,0.0,8.666666666666666,False,False,False,False,True,False,True,False
19,1,0,0,0,72,2023,3,3,1,17.0,0.0,12.666666666666666,False,False,False,False,True,False,True,False
20,1,0,0,0,72,2023,3,3,1,17.0,0.0,8.0,False,False,False,False,True,False,True,False
21,1,0,0,0,72,2023,3,3,1,11.0,0.0,6.0,False,False,False,False,True,False,True,False
22,1,0,0,0,72,2023,3,3,1,7.0,0.0,3.6666666666666665,False,False,False,False,True,False,True,False
11,1,0,0,0,40,2023,4,4,1,0.0,0.0,4.0,False,False,False,False,False,True,False,True
12,1,0,0,0,40,2023,4,4,1,3.0,0.0,10.75,False,False,False,False,False,True,False,True
13,1,0,0,0,40,2023,4,4,1,4.0,0.0,6.75,False,False,False,False,False,True,False,True
14,1,0,0,0,40,2023,4,4,1,12.0,0.0,9.25,False,False,False,False,False,True,False,True
15,1,0,0,0,40,2023,4,4,1,1.0,0.0,3.0,False,False,False,False,False,True,False,True
16,1,0,0,0,40,2023,4,4,1,0.0,0.0,1.75,False,False,False,False,False,True,False,True
17,1,0,0,0,40,2023,4,4,1,7.0,0.0,2.75,False,False,False,False,False,True,False,True
18,1,0,0,0,40,2023,4,4,1,1.0,0.0,8.0,False,False,False,False,False,True,False,True
19,1,0,0,0,40,2023,4,4,1,8.0,0.0,11.75,False,False,False,False,False,True,False,True
20,1,0,0,0,40,2023,4,4,1,0.0,0.0,9.25,False,False,False,False,False,True,False,True
21,1,0,0,0,40,2023,4,4,1,0.0,0.0,7.0,False,False,False,False,False,True,False,True
22,1,0,0,0,40,2023,4,4,1,2.0,0.0,4.25,False,False,False,False,False,True,False,True
11,1,0,0,0,56,2023,5,5,1,4.0,0.0,4.2,False,False,False,True,False,False,False,True
12,1,0,0,0,56,2023,5,5,1,12.0,0.0,11.2,False,False,False,True,False,False,False,True
13,1,0,0,0,56,2023,5,5,1,7.0,0.0,7.4,False,False,False,True,False,False,False,True
14,1,0,0,0,56,2023,5,5,1,1.0,0.0,9.2,False,False,False,True,False,False,False,True
15,1,0,0,0,56,2023,5,5,1,7.0,0.0,2.4,False,False,False,True,False,False,False,True
16,1,0,0,0,56,2023,5,5,1,1.0,0.0,1.8,False,False,False,True,False,False,False,True
17,1,0,0,0,56,2023,5,5,1,1.0,0.0,4.4,False,False,False,True,False,False,False,True
18,1,0,0,0,56,2023,5,5,1,6.0,0.0,7.2,False,False,False,True,False,False,False,True
