Feature,Importance
Weekend,0.30265456
Rolling_7,0.13357106
Weather_Rainy,0.10399238
Holiday,0.08805005
DayOfWeek_Saturday,0.05686216
Promotion,0.034960974
Lag_1_Day,0.026616713
Hour,0.022016104
Lag_7_Days,0.02179844
DayOfWeek_Monday,0.020550974
Weather_Sunny,0.019232256
DayOfWeek_Tuesday,0.01862444
DayOfWeek_Thursday,0.018566558
DayOfWeek_Sunday,0.018509213
DayOfYear,0.018123204
Reservations,0.01711075
Day,0.016665442
DayOfWeek_Wednesday,0.016380584
WeekOfYear,0.016232308
Month,0.015320951
Year,0.014160817
